Product,Total_Revenue
Smooth Sliky Salty,349692
50% Dark Bites,341712
White Choc,329147
Peanut Butter Cubes,324842
Eclairs,312445
99% Dark & Pure,299796
85% Dark Bars,299229
Organic Choco Syrup,294700
Spicy Special Slims,293454
Mint Chip Choco,283969
Almond Choco,277536
Manuka Honey Choco,275541
Milk Bars,269248
Raspberry Choco,264740
After Nines,261331
Fruit & Nut Bars,259147
Drinking Coco,256655
Orange Choco,256144
Baker's Choco Chips,249613
Choco Coated Almonds,241486
Caramel Stuffed Bars,231588
70% Dark Bites,211610
