Product,Transactions,Avg_Boxes_Per_Transaction
Caramel Stuffed Bars,43,202.72093023255815
70% Dark Bites,42,190.83333333333334
Mint Chip Choco,45,182.37777777777777
Manuka Honey Choco,45,172.9111111111111
Baker's Choco Chips,41,170.6829268292683
Milk Bars,49,170.0
Peanut Butter Cubes,49,169.46938775510205
99% Dark & Pure,49,165.85714285714286
Choco Coated Almonds,39,165.74358974358975
After Nines,50,165.14
Orange Choco,47,164.51063829787233
50% Dark Bites,60,163.2
Spicy Special Slims,54,160.83333333333334
85% Dark Bars,50,155.86
Fruit & Nut Bars,50,154.76
Drinking Coco,56,154.64285714285714
Smooth Sliky Salty,59,149.32203389830508
Organic Choco Syrup,52,149.01923076923077
Raspberry Choco,48,148.22916666666666
Eclairs,60,145.95
White Choc,58,142.06896551724137
Almond Choco,48,140.33333333333334
