Product,Revenue_Band,Transaction_Count
50% Dark Bites,Below 5k,31
50% Dark Bites,5k-10k,18
50% Dark Bites,10k - 15k,11
70% Dark Bites,Below 5k,19
70% Dark Bites,5k-10k,19
70% Dark Bites,10k - 15k,4
85% Dark Bars,Below 5k,25
85% Dark Bars,5k-10k,15
85% Dark Bars,10k - 15k,8
85% Dark Bars,15k+,2
99% Dark & Pure,Below 5k,26
99% Dark & Pure,5k-10k,11
99% Dark & Pure,10k - 15k,11
99% Dark & Pure,15k+,1
After Nines,Below 5k,28
After Nines,5k-10k,15
After Nines,10k - 15k,5
After Nines,15k+,2
Almond Choco,Below 5k,22
Almond Choco,5k-10k,20
Almond Choco,10k - 15k,5
Almond Choco,15k+,1
Baker's Choco Chips,Below 5k,21
Baker's Choco Chips,5k-10k,11
Baker's Choco Chips,10k - 15k,8
Baker's Choco Chips,15k+,1
Caramel Stuffed Bars,Below 5k,23
Caramel Stuffed Bars,5k-10k,16
Caramel Stuffed Bars,10k - 15k,3
Caramel Stuffed Bars,15k+,1
Choco Coated Almonds,Below 5k,19
Choco Coated Almonds,5k-10k,12
Choco Coated Almonds,10k - 15k,6
Choco Coated Almonds,15k+,2
Drinking Coco,Below 5k,35
Drinking Coco,5k-10k,16
Drinking Coco,10k - 15k,3
Drinking Coco,15k+,2
Eclairs,Below 5k,32
Eclairs,5k-10k,23
Eclairs,10k - 15k,4
Eclairs,15k+,1
Fruit & Nut Bars,Below 5k,26
Fruit & Nut Bars,5k-10k,18
Fruit & Nut Bars,10k - 15k,5
Fruit & Nut Bars,15k+,1
Manuka Honey Choco,Below 5k,23
Manuka Honey Choco,5k-10k,14
Manuka Honey Choco,10k - 15k,6
Manuka Honey Choco,15k+,2
Milk Bars,Below 5k,29
Milk Bars,5k-10k,11
Milk Bars,10k - 15k,7
Milk Bars,15k+,2
Mint Chip Choco,Below 5k,22
Mint Chip Choco,5k-10k,15
Mint Chip Choco,10k - 15k,4
Mint Chip Choco,15k+,4
Orange Choco,Below 5k,25
Orange Choco,5k-10k,16
Orange Choco,10k - 15k,6
Organic Choco Syrup,Below 5k,29
Organic Choco Syrup,5k-10k,16
Organic Choco Syrup,15k+,5
Organic Choco Syrup,10k - 15k,2
Peanut Butter Cubes,Below 5k,20
Peanut Butter Cubes,5k-10k,17
Peanut Butter Cubes,10k - 15k,9
Peanut Butter Cubes,15k+,3
Raspberry Choco,Below 5k,22
Raspberry Choco,5k-10k,22
Raspberry Choco,10k - 15k,4
Smooth Sliky Salty,Below 5k,30
Smooth Sliky Salty,5k-10k,19
Smooth Sliky Salty,10k - 15k,7
Smooth Sliky Salty,15k+,3
Spicy Special Slims,Below 5k,26
Spicy Special Slims,5k-10k,18
Spicy Special Slims,10k - 15k,10
White Choc,5k-10k,29
White Choc,Below 5k,25
White Choc,10k - 15k,4
