Product,Country,Total_Revenue,Ranking
50% Dark Bites,Australia,89222,1
Eclairs,Australia,64323,2
Milk Bars,Australia,61173,3
Smooth Sliky Salty,Canada,68257,1
Peanut Butter Cubes,Canada,62181,2
70% Dark Bites,Canada,59024,3
Eclairs,India,79009,1
Peanut Butter Cubes,India,76909,2
Smooth Sliky Salty,India,76041,3
Mint Chip Choco,New Zealand,86709,1
85% Dark Bars,New Zealand,67550,2
Eclairs,New Zealand,60319,3
Peanut Butter Cubes,UK,79695,1
99% Dark & Pure,UK,79100,2
Smooth Sliky Salty,UK,75628,3
Raspberry Choco,USA,83524,1
Manuka Honey Choco,USA,67732,2
White Choc,USA,67221,3
