Product,Country,Product_Revenue,Country_Revenue,Contribution_Percent
Mint Chip Choco,New Zealand,86709,950418,9.123248928366255
Raspberry Choco,USA,83524,1035349,8.0672314359699
50% Dark Bites,Australia,89222,1137367,7.844609523575064
Peanut Butter Cubes,UK,79695,1051792,7.577068469811522
Eclairs,India,79009,1045800,7.554886211512717
99% Dark & Pure,UK,79100,1051792,7.520498349483548
Peanut Butter Cubes,India,76909,1045800,7.354082998661312
Smooth Sliky Salty,India,76041,1045800,7.271084337349397
Spicy Special Slims,India,75495,1045800,7.218875502008032
Smooth Sliky Salty,UK,75628,1051792,7.190395059099138
85% Dark Bars,New Zealand,67550,950418,7.107399060202984
Smooth Sliky Salty,Canada,68257,962899,7.0886977761945955
Mint Chip Choco,India,69153,1045800,6.612449799196787
Manuka Honey Choco,USA,67732,1035349,6.541948656926312
Organic Choco Syrup,India,68075,1045800,6.509370816599732
White Choc,USA,67221,1035349,6.492593318774635
Peanut Butter Cubes,Canada,62181,962899,6.457686631723576
White Choc,UK,67683,1051792,6.4350175700138434
Eclairs,New Zealand,60319,950418,6.346575927644468
50% Dark Bites,India,64547,1045800,6.172021419009371
70% Dark Bites,Canada,59024,962899,6.129822546289901
White Choc,New Zealand,57876,950418,6.089531132617438
Spicy Special Slims,Canada,58051,962899,6.028773526610787
Choco Coated Almonds,Canada,57463,962899,5.967707931984559
After Nines,New Zealand,55699,950418,5.860474023008823
Almond Choco,UK,59948,1051792,5.699606005750186
Eclairs,Australia,64323,1137367,5.655430481102406
After Nines,India,58758,1045800,5.618473895582329
Organic Choco Syrup,New Zealand,53074,950418,5.584279759011298
50% Dark Bites,USA,57442,1035349,5.548080888666527
85% Dark Bars,USA,57197,1035349,5.5244173703746275
Milk Bars,UK,57036,1051792,5.4227451815568095
85% Dark Bars,India,56630,1045800,5.4149933065595715
Milk Bars,Australia,61173,1137367,5.378475021694844
Spicy Special Slims,Australia,61005,1137367,5.363704063859775
Choco Coated Almonds,UK,56091,1051792,5.33289851985944
Organic Choco Syrup,Australia,60445,1137367,5.314467537742875
Orange Choco,Canada,51156,962899,5.312706732481807
Manuka Honey Choco,Canada,50589,962899,5.253822051949374
Orange Choco,Australia,59717,1137367,5.2504600537909045
Manuka Honey Choco,New Zealand,49889,950418,5.249164052027634
Fruit & Nut Bars,Canada,49924,962899,5.184759772312568
Baker's Choco Chips,Australia,58303,1137367,5.126137825345733
White Choc,Australia,57386,1137367,5.045513013829309
Drinking Coco,Canada,47964,962899,4.981207790225143
Fruit & Nut Bars,New Zealand,47124,950418,4.958239427283575
Organic Choco Syrup,USA,51191,1035349,4.944323121961773
Caramel Stuffed Bars,UK,51233,1051792,4.87102012565222
Almond Choco,India,50820,1045800,4.859437751004016
Baker's Choco Chips,New Zealand,45906,950418,4.830085288788722
99% Dark & Pure,Australia,54908,1137367,4.8276413857620275
