Sales_Month,Product,Total_Revenue
1,99% Dark & Pure,71883
1,Baker's Choco Chips,60830
1,Peanut Butter Cubes,57113
1,50% Dark Bites,55818
1,After Nines,55510
1,Spicy Special Slims,54446
1,Organic Choco Syrup,51002
1,Eclairs,50218
1,Mint Chip Choco,49525
1,70% Dark Bites,48097
1,Fruit & Nut Bars,44422
1,White Choc,43533
1,Smooth Sliky Salty,42105
1,Almond Choco,34461
1,Caramel Stuffed Bars,32487
1,Choco Coated Almonds,30737
1,Raspberry Choco,30184
1,Manuka Honey Choco,24017
1,Drinking Coco,23170
1,Milk Bars,19936
1,Orange Choco,16338
1,85% Dark Bars,273
2,Peanut Butter Cubes,64533
2,Milk Bars,64218
2,Mint Chip Choco,63518
2,70% Dark Bites,45815
2,Eclairs,44429
2,Manuka Honey Choco,43246
2,Spicy Special Slims,40915
2,Drinking Coco,38003
2,85% Dark Bars,35763
2,Orange Choco,34643
2,50% Dark Bites,31752
2,Smooth Sliky Salty,31010
2,Almond Choco,28308
2,99% Dark & Pure,22428
2,Organic Choco Syrup,21112
2,Baker's Choco Chips,21035
2,Caramel Stuffed Bars,16387
2,Fruit & Nut Bars,16366
2,White Choc,14049
2,Raspberry Choco,9471
2,Choco Coated Almonds,7126
2,After Nines,5250
3,Smooth Sliky Salty,73969
3,Eclairs,56413
3,50% Dark Bites,45241
3,Choco Coated Almonds,44730
3,Drinking Coco,43974
3,White Choc,42490
3,Milk Bars,42189
3,Orange Choco,41573
3,Peanut Butter Cubes,39683
3,After Nines,35392
3,Manuka Honey Choco,35378
3,Organic Choco Syrup,34790
3,Mint Chip Choco,33467
3,Raspberry Choco,32221
3,Spicy Special Slims,25935
3,Almond Choco,24549
3,Baker's Choco Chips,22477
3,70% Dark Bites,20755
3,Fruit & Nut Bars,19740
3,Caramel Stuffed Bars,14182
3,99% Dark & Pure,12418
3,85% Dark Bars,7917
4,Raspberry Choco,63406
4,After Nines,52437
4,Orange Choco,48188
4,50% Dark Bites,47789
4,Eclairs,45794
4,Manuka Honey Choco,39004
4,Baker's Choco Chips,37737
4,85% Dark Bars,36414
4,Spicy Special Slims,36316
4,Caramel Stuffed Bars,34111
4,70% Dark Bites,31920
4,Fruit & Nut Bars,29904
4,Peanut Butter Cubes,29120
4,Almond Choco,26320
4,Choco Coated Almonds,24801
4,Smooth Sliky Salty,22897
4,White Choc,20188
4,Drinking Coco,14455
4,Mint Chip Choco,13160
4,Milk Bars,11410
4,99% Dark & Pure,7483
4,Organic Choco Syrup,1197
5,Smooth Sliky Salty,71939
5,99% Dark & Pure,67193
5,Caramel Stuffed Bars,49693
5,Organic Choco Syrup,48888
5,Drinking Coco,44317
5,Almond Choco,41118
5,Raspberry Choco,39431
5,White Choc,37401
5,Orange Choco,36064
5,Choco Coated Almonds,33831
5,85% Dark Bars,30513
5,Mint Chip Choco,29505
5,50% Dark Bites,28217
5,Baker's Choco Chips,27839
5,Manuka Honey Choco,27139
5,Spicy Special Slims,24381
5,Milk Bars,23135
5,Eclairs,20538
5,70% Dark Bites,20118
5,After Nines,18725
5,Peanut Butter Cubes,17171
5,Fruit & Nut Bars,15736
6,Fruit & Nut Bars,87682
6,Orange Choco,69251
6,85% Dark Bars,66675
6,Manuka Honey Choco,54502
6,Milk Bars,47369
6,White Choc,44534
6,Almond Choco,43351
6,Spicy Special Slims,41370
6,Raspberry Choco,39928
6,Eclairs,36904
6,50% Dark Bites,35147
6,Mint Chip Choco,34293
6,Caramel Stuffed Bars,34258
6,Smooth Sliky Salty,30982
6,70% Dark Bites,30730
6,After Nines,30618
6,Peanut Butter Cubes,28210
6,99% Dark & Pure,26894
6,Choco Coated Almonds,24458
6,Drinking Coco,23534
6,Organic Choco Syrup,19684
6,Baker's Choco Chips,14770
7,Organic Choco Syrup,94241
7,Drinking Coco,68733
7,White Choc,56462
7,Milk Bars,56301
7,Peanut Butter Cubes,49861
7,Smooth Sliky Salty,48223
7,50% Dark Bites,48118
7,Almond Choco,46858
7,99% Dark & Pure,46697
7,Eclairs,32410
7,Spicy Special Slims,32193
7,Fruit & Nut Bars,32158
7,Manuka Honey Choco,31962
7,Mint Chip Choco,27783
7,Caramel Stuffed Bars,24948
7,85% Dark Bars,24465
7,After Nines,23072
7,Choco Coated Almonds,19537
7,Raspberry Choco,17010
7,70% Dark Bites,11998
7,Baker's Choco Chips,5978
7,Orange Choco,4417
8,85% Dark Bars,97209
8,White Choc,70490
8,Baker's Choco Chips,58947
8,Choco Coated Almonds,56266
8,50% Dark Bites,49630
8,99% Dark & Pure,44800
8,After Nines,40327
8,Peanut Butter Cubes,39151
8,Spicy Special Slims,37898
8,Raspberry Choco,33089
8,Mint Chip Choco,32718
8,Almond Choco,32571
8,Smooth Sliky Salty,28567
8,Eclairs,25739
8,Caramel Stuffed Bars,25522
8,Organic Choco Syrup,23786
8,Manuka Honey Choco,20293
8,Fruit & Nut Bars,13139
8,Orange Choco,5670
8,Milk Bars,4690
8,70% Dark Bites,2177
8,Drinking Coco,469
