Country,Sales_Month,Total_Sales,Previous_Month_Revenue,MOM_Growth_Percent
Australia,1,187383,,
Australia,2,126406,187383.0,-32.54137248309612
Australia,3,165431,126406.0,30.87274338243438
Australia,4,120561,165431.0,-27.123090593661406
Australia,5,124264,120561.0,3.0714741914881265
Australia,6,145719,124264.0,17.265660207300584
Australia,7,131082,145719.0,-10.044675025219773
Australia,8,136521,131082.0,4.149311118231336
Canada,1,143997,,
Canada,2,134456,143997.0,-6.625832482621166
Canada,3,129409,134456.0,-3.753644314868805
Canada,4,89194,129409.0,-31.075891166765835
Canada,5,85092,89194.0,-4.598964055878198
Canada,6,87248,85092.0,2.533728200065811
Canada,7,159166,87248.0,82.42939666238767
Canada,8,134337,159166.0,-15.599437065704988
India,1,143430,,
India,2,83888,143430.0,-41.51293313811615
India,3,96033,83888.0,14.477636849132177
India,4,117383,96033.0,22.23194110357898
India,5,141099,117383.0,20.203947760749003
India,6,140413,141099.0,-0.486183459840254
India,7,175308,140413.0,24.851687521810657
India,8,148246,175308.0,-15.436831177128255
New Zealand,1,124488,,
New Zealand,2,132293,124488.0,6.2696806117858745
New Zealand,3,139020,132293.0,5.084925128313667
New Zealand,4,105854,139020.0,-23.856998992950654
New Zealand,5,91301,105854.0,-13.74818145747917
New Zealand,6,166838,91301.0,82.73403358123132
New Zealand,7,82712,166838.0,-50.4237643702274
New Zealand,8,107912,82712.0,30.46716316858497
UK,1,188531,,
UK,2,99904,188531.0,-47.00924516392529
UK,3,105518,99904.0,5.619394618834081
UK,4,105973,105518.0,0.4312060501525806
UK,5,154742,105973.0,46.02021269568664
UK,6,208621,154742.0,34.81860128471908
UK,7,95053,208621.0,-54.43747273764386
UK,8,93450,95053.0,-1.686427571986155
USA,1,108276,,
USA,2,122430,108276.0,13.072148952676493
USA,3,114072,122430.0,-6.826758147512865
USA,4,135086,114072.0,18.42169857633775
USA,5,156394,135086.0,15.773655301067468
USA,6,116305,156394.0,-25.633336317250023
USA,7,160104,116305.0,37.65874210051159
USA,8,122682,160104.0,-23.373557187827913
