Country,Product,Total_Revenue,Total_Boxes,Revenue_Per_Box
USA,Choco Coated Almonds,41741,333,125.34834834834835
India,Smooth Sliky Salty,76041,722,105.31994459833795
India,Organic Choco Syrup,68075,897,75.89186176142698
Canada,Almond Choco,42028,556,75.58992805755396
USA,Baker's Choco Chips,42420,598,70.93645484949833
New Zealand,Eclairs,60319,890,67.77415730337079
Australia,Caramel Stuffed Bars,39949,594,67.25420875420875
USA,Organic Choco Syrup,51191,773,66.22380336351875
Canada,50% Dark Bites,45115,686,65.76530612244898
Canada,White Choc,46095,701,65.75606276747503
UK,Peanut Butter Cubes,79695,1265,63.0
UK,Almond Choco,59948,990,60.55353535353535
UK,Orange Choco,42252,698,60.532951289398284
USA,Manuka Honey Choco,67732,1150,58.89739130434783
UK,85% Dark Bars,41447,704,58.87357954545455
UK,99% Dark & Pure,79100,1396,56.66189111747851
New Zealand,Baker's Choco Chips,45906,812,56.53448275862069
USA,White Choc,67221,1204,55.83139534883721
USA,Raspberry Choco,83524,1497,55.79425517702071
UK,Spicy Special Slims,37562,685,54.83503649635036
India,Peanut Butter Cubes,76909,1445,53.2242214532872
Australia,Fruit & Nut Bars,53088,1000,53.088
India,50% Dark Bites,64547,1237,52.1802748585287
Australia,Choco Coated Almonds,37345,718,52.0125348189415
Canada,Milk Bars,41727,829,50.33413751507841
India,Raspberry Choco,39501,788,50.128172588832484
USA,Mint Chip Choco,36323,747,48.62516733601071
Australia,Eclairs,64323,1331,48.326821938392186
UK,Choco Coated Almonds,56091,1178,47.615449915110354
USA,Milk Bars,48251,1025,47.07414634146341
Australia,Mint Chip Choco,50701,1079,46.98887859128823
New Zealand,Almond Choco,29211,625,46.7376
Australia,Baker's Choco Chips,58303,1257,46.382657120127284
New Zealand,Choco Coated Almonds,20888,455,45.90769230769231
New Zealand,White Choc,57876,1267,45.67955801104972
New Zealand,Fruit & Nut Bars,47124,1033,45.61858664085189
India,Mint Chip Choco,69153,1516,45.61543535620053
New Zealand,99% Dark & Pure,31773,707,44.94059405940594
USA,Almond Choco,48650,1095,44.42922374429224
New Zealand,After Nines,55699,1316,42.32446808510638
India,Drinking Coco,45892,1101,41.68210717529519
Canada,Peanut Butter Cubes,62181,1492,41.67627345844504
New Zealand,Spicy Special Slims,36127,869,41.57307249712313
Australia,Raspberry Choco,52829,1291,40.92099147947328
Australia,99% Dark & Pure,54908,1350,40.67259259259259
UK,Smooth Sliky Salty,75628,1865,40.551206434316356
Canada,85% Dark Bars,37926,950,39.922105263157896
New Zealand,70% Dark Bites,37226,933,39.89924973204716
India,Eclairs,79009,1985,39.803022670025186
India,Almond Choco,50820,1296,39.21296296296296
New Zealand,85% Dark Bars,67550,1750,38.6
USA,Eclairs,45192,1177,38.39592183517417
Australia,White Choc,57386,1510,38.00397350993377
Australia,Peanut Butter Cubes,41055,1087,37.769089236430545
UK,Fruit & Nut Bars,42266,1122,37.67023172905526
New Zealand,50% Dark Bites,35294,939,37.58679446219382
Canada,70% Dark Bites,59024,1578,37.404309252218
India,Spicy Special Slims,75495,2037,37.06185567010309
Canada,Baker's Choco Chips,36456,985,37.011167512690356
USA,Drinking Coco,38059,1038,36.665703275529864
USA,Caramel Stuffed Bars,37590,1028,36.56614785992218
India,85% Dark Bars,56630,1584,35.75126262626262
