Query_ID,CSV_File,Rows
P1_01,P1_01_Total_Revenue.csv,1
P1_02,P1_02_Total_Boxes_Shipped.csv,1
P1_03,P1_03_Total_Transactions.csv,1
P1_04,P1_04_Average_Revenue.csv,1
P1_05,P1_05_Average_Boxes_Per_Transaction.csv,1
P1_06,P1_06_Revenue_Per_Box.csv,1
P1_07,P1_07_Highest_Transaction_Value.csv,1
P1_08,P1_08_Lowest_Transaction_Value.csv,1
P1_09,P1_09_Total_Salespeople.csv,1
P1_10,P1_10_Total_Countries.csv,1
P1_11,P1_11_Total_Products.csv,1
P1_12,P1_12_Top_Salesperson_Revenue.csv,1
P1_13,P1_13_Top_Product_Revenue.csv,1
P1_14,P1_14_Top_Country_Revenue.csv,1
P1_15,P1_15_Country_Revenue_Contribution.csv,6
P2_01,P2_01_Revenue_By_Salesperson.csv,25
P2_02,P2_02_Transactions_By_Salesperson.csv,25
P2_03,P2_03_Boxes_By_Salesperson.csv,25
P2_04,P2_04_Revenue_By_Country.csv,6
P2_05,P2_05_Transactions_By_Country.csv,6
P2_06,P2_06_Boxes_By_Country.csv,6
P2_07,P2_07_Revenue_By_Product.csv,22
P2_08,P2_08_Transactions_By_Product.csv,22
P2_09,P2_09_Boxes_By_Product.csv,22
P2_10,P2_10_Monthly_Revenue.csv,8
P2_11,P2_11_Monthly_Transaction_Volume.csv,8
P2_12,P2_12_Monthly_Boxes_Shipped.csv,8
P2_13,P2_13_Quarterly_Revenue.csv,3
P2_14,P2_14_Transaction_Value_Distribution.csv,4
P2_15,P2_15_Boxes_Shipped_Distribution.csv,4
P3_01,P3_01_Transaction_Value_vs_Box_Volume.csv,4
P3_02,P3_02_Revenue_Band_vs_Box_Volume.csv,4
P3_03,P3_03_Salesperson_vs_Product_Mix.csv,25
P3_04,P3_04_Salesperson_vs_Market_Reach.csv,25
P3_05,P3_05_Product_vs_Market_Reach.csv,22
P3_06,P3_06_Salesperson_vs_Product_Diversity.csv,25
P3_07,P3_07_Country_vs_Product_Diversity.csv,6
P3_08,P3_08_Country_vs_Salesperson_Coverage.csv,6
P3_09,P3_09_Product_vs_Salesperson_Coverage.csv,22
P3_10,P3_10_Product_vs_Average_Boxes.csv,22
P3_11,P3_11_Country_vs_Average_Boxes.csv,6
P3_12,P3_12_Salesperson_vs_Average_Boxes.csv,25
P3_13,P3_13_Product_vs_Transaction_Value_Band.csv,82
P3_14,P3_14_Salesperson_vs_Transaction_Value_Band.csv,91
P3_15,P3_15_Country_vs_Transaction_Value_Band.csv,24
P4_01,P4_01_Top_Salesperson_Each_Country.csv,6
P4_02,P4_02_Top_3_Salespeople_Each_Country.csv,18
P4_03,P4_03_Top_Product_Each_Country.csv,6
P4_04,P4_04_Top_3_Products_Each_Country.csv,18
P4_05,P4_05_Salesperson_Product_Performance_Top10.csv,10
P4_06,P4_06_Salesperson_Product_Revenue_Per_Box.csv,492
P4_07,P4_07_Country_Product_Revenue_Contribution.csv,132
P4_08,P4_08_Salesperson_Country_Revenue_Contribution.csv,150
P4_09,P4_09_Month_Country_Revenue.csv,48
P4_10,P4_10_Month_Product_Revenue.csv,176
P4_11,P4_11_Month_Over_Month_Revenue_Growth.csv,8
P4_12,P4_12_Country_MOM_Growth.csv,48
P4_13,P4_13_Salesperson_Country_Productivity.csv,150
P4_14,P4_14_Product_Country_Revenue_Efficiency.csv,132
P4_15,P4_15_Salesperson_Country_Product_Scorecard.csv,1094
